Date	,Price	,Open	,High	,Low	,Vol.	,Change %
08/28/2025	7,624	7,500	7,639	7,500	936.41K	1.23%
08/27/2025	7,531	7,482	7,541	7,433	8.06M	0.65%
08/26/2025	7,482	7,650	7,717	7,482	20.64M	-2.89%
08/25/2025	7,705	7,810	7,840	7,688	5.65M	-1.31%
08/22/2025	7,807	7,685	7,807	7,685	8.07M	1.63%
08/21/2025	7,682	7,650	7,739	7,638	5.69M	0.12%
08/20/2025	7,673	7,744	7,785	7,640	7.25M	-1.40%
08/19/2025	7,782	7,683	7,787	7,674	6.57M	0.61%
08/18/2025	7,735	7,770	7,828	7,720	6.06M	-1.06%
08/15/2025	7,818	7,800	7,886	7,790	3.81M	-0.05%
08/14/2025	7,822	7,727	7,890	7,710	11.19M	0.81%
08/13/2025	7,759	7,679	7,800	7,679	13.17M	0.60%
08/12/2025	7,713	7,635	7,713	7,635	7.64M	1.22%
08/11/2025	7,620	7,569	7,740	7,569	6.39M	0.69%
08/08/2025	7,568	7,700	7,700	7,568	11.49M	-1.01%
08/07/2025	7,645	7,575	7,670	7,575	12.95M	-0.07%
08/06/2025	7,650	7,567	7,711	7,567	7.04M	0.76%
08/05/2025	7,592	7,780	7,823	7,577	20.10M	-2.24%
08/04/2025	7,766	7,970	8,102	7,617	28.46M	2.44%
08/01/2025	7,581	7,683	7,724	7,567	15.98M	-2.13%
07/31/2025	7,746	7,704	7,825	7,655	22.08M	1.19%
07/30/2025	7,655	7,500	7,676	7,482	10.37M	1.74%
07/29/2025	7,524	7,527	7,605	7,506	5.66M	-0.08%
07/28/2025	7,530	7,529	7,581	7,478	5.26M	0.41%
